From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
5388;803;sea;1155;-1;-1;-1;-1;SUEZ_CANAL;Suez Canal
2284;8857;sea;14046;-1;-1;-1;-1;PANAMA_CANAL;Panama Canal
2729;14839;sea;6257;2949;1598;2962;1612;KIEL_CANAL;Kiel Canal
13194;3086;sea;6021;-1;-1;-1;-1;WHITE_SEA_CANAL_3;White Sea Canal (White Sea-Onega / Vyg)
2356;14260;sea;6057;-1;-1;-1;-1;WHITE_SEA_CANAL_2;White Sea Canal (Ladoga-Onega / Svir)
2332;15881;sea;13320;-1;-1;-1;-1;WHITE_SEA_CANAL_1;White Sea Canal (Ladoga-Baltic Sea / Neva)
6801;15982;sea;3988;-1;-1;-1;-1;CORINTH_CANAL;Corinth Canal
2824;2942;sea;6046;-1;-1;-1;-1;CALEDONIAN_CANAL;Caledonian Canal
2358;15781;sea;6334;-1;-1;-1;-1;KAISERFAHRT;Kaiserfahrt
15386;8282;sea;6334;-1;-1;-1;-1;VOLGA_DON_CANAL;Volga-Don Canal
5407;5382;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar Strait
2382;2431;;-1;-1;-1;-1;-1;ORESUND_STRAIT;Öresund
2408;14840;;-1;-1;-1;-1;-1;STOREBALT_STRAIT;Storebælt
14839;14840;;-1;-1;-1;-1;-1;LILLEBALT_STRAIT;Lillebælt
5412;7678;;-1;-1;-1;-1;-1;BOSPHORUS_STRAIT;Bosphorus
15408;8308;;-1;-1;-1;-1;-1;KERCH_STRAIT;Kerch Strait
7452;15407;;-1;-1;-1;-1;-1;DARDANELLES_STRAIT;Dardanelles
4679;5240;;-1;-1;-1;-1;-1;BASS_STRAIT;Bass Strait
5563;5364;;-1;-1;-1;-1;-1;TORRES_STRAIT;Torres Strait
8445;15406;;-1;-1;-1;-1;-1;BOHAI_STRAIT;Bohai Strait
7933;7479;;-1;-1;-1;-1;-1;PALK_STRAIT;Palk Strait
2714;2737;;-1;-1;-1;-1;-1;SUNDA_STRAIT;Sunda Strait
11748;5929;;-1;-1;-1;-1;-1;DOVER_STRAIT;Dover Strait
11748;8621;;-1;-1;-1;-1;-1;DOVER_STRAIT;Dover Strait
12389;8621;;-1;-1;-1;-1;-1;DOVER_STRAIT;Dover Strait
2800;2776;;-1;-1;-1;-1;-1;BAB_EL_MANDEB_STRAIT;Bab el-Mandeb
2943;2919;;-1;-1;-1;-1;-1;HORMUZ_STRAIT;Strait of Hormuz
6007;5960;;-1;-1;-1;-1;-1;MALACCA_STRAIT;Strait of Malacca
8774;2857;;-1;-1;-1;-1;-1;BALABAC_STRAIT;Balabac Strait
8727;2971;;-1;-1;-1;-1;-1;MINDORO_STRAIT;Mindoro Strait
2876;16801;;-1;-1;-1;-1;-1;VERDE_ISLAND_PASSAGE;Verde Island Passage
8751;16800;;-1;-1;-1;-1;-1;SURIGAO_STRAIT;Surigao Strait
16799;16800;;-1;-1;-1;-1;-1;SAN_JUANICO_STRAIT;San Juanico Strait
16799;2856;;-1;-1;-1;-1;-1;SAN_BERNARDINO_STRAIT;San Bernardino Strait
16799;8727;;-1;-1;-1;-1;-1;GUIMARAS_STRAIT;Guimaras Strait
2708;7932;;-1;-1;-1;-1;-1;KOREA_STRAIT;Korea Strait
5864;5838;;-1;-1;-1;-1;-1;OTRANTO_STRAIT;Strait of Otranto
13588;5388;;-1;-1;-1;-1;-1;TIRAN_STRAIT;Straits of Tiran
1660;1434;;-1;-1;-1;-1;-1;PORKKALA_STRAIT;Porkkala Strait
1885;2107;;-1;-1;-1;-1;-1;IRBE_STRAIT;Irbe Strait
15409;990;;-1;-1;-1;-1;-1;SOELA_STRAIT;Soela Strait (West)
15409;1434;;-1;-1;-1;-1;-1;SOELA_STRAIT;Soela Strait (North)
3826;8668;;-1;-1;-1;-1;-1;BELLE_ISLE_STRAIT;Strait of Belle Isle
2510;5295;;-1;-1;-1;-1;-1;TARTARY_STRAIT;Strait of Tartary
5707;5681;;-1;-1;-1;-1;-1;MESSINA_STRAIT;Strait of Messina
5579;8895;;-1;-1;-1;-1;-1;BONIFACIO_STRAIT;Strait of Bonifacio
5840;5866;;-1;-1;-1;-1;-1;YUCATAN_STRAIT;Yucatan Channel
8340;2824;;-1;-1;-1;-1;-1;MOYLE_STRAIT;Straits of Moyle
4465;2583;;-1;-1;-1;-1;-1;LA_PEROUSE_STRAIT;La Pérouse Strait
5946;6824;;-1;-1;-1;-1;-1;TSUGARU_STRAIT;Tsugaru Strait
7932;14674;;-1;-1;-1;-1;-1;KANMON_STRAIT;Kanmon Strait
14674;8791;;-1;-1;-1;-1;-1;BUNGO_STRAIT;Bungo Channel
14673;14676;;-1;-1;-1;-1;-1;KII_STRAIT;Kii Channel
8621;14743;;-1;-1;-1;-1;-1;SCHELDT_ESTUARY;Scheldt Estuary (Sea Access)
8662;5834;;-1;-1;-1;-1;-1;BERING_STRAIT;Bering Strait
8822;2833;;-1;-1;-1;-1;-1;MAKASSAR_STRAIT;Makassar Strait
5430;15206;;-1;-1;-1;-1;-1;GOLDEN_GATE;Golden Gate
4212;7394;;-1;-1;-1;-1;-1;CORK_HARBOUR;Cork Harbour
10265;16801;;-1;-1;-1;-1;-1;MANILA_BAY;Manila Bay
